timestep,episode,reward,lambda2_reduction,episode_length,band_match_rate,actor_loss,critic_loss,entropy,clip_fraction,approx_kl,time_elapsed,avg_jamming_power_dbm
1024,6,596.3078905490473,40.38012411997844,150.0,0.0,-0.007897004883529412,946.6786928282844,3.2219726274410885,0.12958984375,0.01257587349136884,7.428626298904419,-41.06242912116099
2048,13,887.4205360600109,67.83921385290316,150.0,0.0,-0.008195454789610165,937.1723333146837,3.2540423813793393,0.12147352430555555,0.0116650119256974,14.089916944503784,-39.67220782927842
3072,20,524.0722746068923,28.08535416527705,150.0,0.0,-0.009615258981163303,747.5557172351413,3.4296131359206306,0.15511067708333334,0.014973148783448995,20.415018558502197,-41.80759768807637
4096,27,963.4219191771051,63.988642459704785,150.0,0.0,-0.009286560366551082,2320.1500932481554,3.311668528119723,0.11982421875,0.010132155335835108,27.551419973373413,-37.690199056318455
5120,34,716.5509217190695,55.78903645144955,150.0,0.0,-0.011542659774810697,2042.6063382466634,3.4635375469923018,0.16554904513888888,0.013572208724728326,33.63281440734863,-40.059274612527275
6144,40,1101.3941373283553,66.66666666666667,150.0,0.0,-0.006911244728447248,3344.837765333388,3.250213093890084,0.09329427083333333,0.00821554196445631,39.831844329833984,-35.205179920583284
7168,47,817.7435198331265,54.95782185187186,150.0,0.0,-0.01234261352445982,2152.409464094374,3.57362706164519,0.14662543402777778,0.012675478174858468,45.832443952560425,-41.66584717304316
8192,54,588.2001660229646,41.286519178994574,150.0,0.0,-0.01244054432803144,1827.3985956827798,3.7030839214722318,0.13402777777777777,0.011055580062202372,51.57181358337402,-42.914249940754004
9216,61,336.7142116698052,21.913658376144262,150.0,0.0,-0.008741957808120383,649.8905714246962,3.9489706228176753,0.0900390625,0.008192031393016623,57.46499300003052,-45.03931639587535
10240,68,917.4479411430858,72.27855023664988,150.0,0.0,-0.010122187091878409,3607.7754958258733,3.5827276560995314,0.12544487847222222,0.010866787009258102,63.21695566177368,-36.96607309204262
11264,75,910.7576302952981,59.83118649459534,134.42857142857142,0.0,-0.008451359081340747,4029.4991260104707,3.643100665675269,0.1154513888888889,0.010141680776501351,70.80172896385193,-32.59082948462226
12288,82,665.2674038874114,40.13277369215083,150.0,0.0,-0.013368125580665137,1975.8182926601835,4.043720406956143,0.13675130208333333,0.012375112444035757,76.56400060653687,-40.98810945902907
13312,89,342.45182084955457,27.14913997452977,150.0,0.0,-0.010916997403061639,690.8480475531684,4.078255149390962,0.12894965277777778,0.012017063426431706,82.49041056632996,-44.10895885916846
14336,96,835.2016373090586,40.32950971101066,150.0,0.0,-0.010577662483168144,3956.1490202162,3.824254074361589,0.13435329861111112,0.012474428583909188,88.14385342597961,-38.86741638882414
15360,103,574.5837549988348,42.59887792557898,150.0,0.0,-0.009503513654797442,2544.965498775906,3.9638516230715646,0.14495442708333334,0.01300912149149052,93.98080444335938,-40.937683285925644
16384,109,887.6392283039227,67.05426270520574,150.0,0.0,-0.009811603538562648,3339.485477871365,3.8873901688390307,0.15024956597222222,0.012368778239488185,100.71798515319824,-40.3011157769442
17408,116,678.6070983949851,19.04761904761899,150.0,0.0,-0.011247362135650796,3243.035191006131,3.942081188162168,0.15751953125,0.017320516687474703,106.7898018360138,-38.9435040135362
18432,123,725.4668410707151,46.810820942955125,150.0,0.0,-0.01127957194758993,2931.477180141873,3.9989593903223675,0.13766276041666667,0.01129734791042616,112.47836637496948,-42.20947994608511
19456,130,704.6070216604304,52.112250489612684,150.0,0.0,-0.01054531370755285,3005.0420806884767,4.0735560708575775,0.14143880208333334,0.011637605457682824,118.39457035064697,-40.76678390612642
