timestep,episode,reward,lambda2_reduction,episode_length,band_match_rate,actor_loss,critic_loss,entropy,clip_fraction,approx_kl,time_elapsed,avg_jamming_power_dbm
2048,10,1145.0120152842376,42.40479530912941,200.0,0.0,-0.003654176812657776,2142.20885664622,3.26081150273482,0.06705729166666667,0.007644600127544739,6.763927221298218,-45.64416463708464
4096,20,981.9293897821069,48.46420767270175,200.0,0.0,-0.0035426429613532187,867.4110230763753,3.323280229171117,0.06521809895833333,0.009000858033552588,13.232232332229614,-47.71395256550184
6144,30,881.3718515138564,39.6741161637348,200.0,0.0,-0.003781596139500228,861.7201307932536,3.3948397005597752,0.06835123697916666,0.008279207126209593,20.000722408294678,-47.44373536121479
8192,40,1308.4761593400215,67.9533373451425,200.0,0.0,-0.0019182339684145214,2148.5095123291017,3.3175022174914677,0.052018229166666666,0.007307871571833877,27.085379362106323,-45.317328660373946
10240,51,838.4185083985466,50.814444986271106,200.0,0.0,-0.004923328581207897,1599.0700907389323,3.5759061853090923,0.13052571614583333,0.015687574133734963,35.02531957626343,-46.84153022069359
12288,61,792.8053483655411,33.78287333851157,200.0,0.0,-0.0031794333025269832,1452.5840960184732,3.714748621980349,0.08844401041666666,0.008436645117342342,45.130481004714966,-49.063269110508024
14336,71,712.1980146790419,38.15518404629946,200.0,0.0,-0.004258000841461277,1900.6278982798258,3.729947414000829,0.13841145833333332,0.017645917477564912,54.52383065223694,-50.488856268510204
16384,81,791.1953922693564,44.09946194793564,200.0,0.0,-0.001473523341701366,2156.2329849243165,3.859601240356763,0.06647135416666666,0.007179076180533712,63.70031380653381,-47.50088737609386
18432,92,762.9429402854312,42.21036611398618,200.0,0.0,-0.0041001064545222714,2079.6935309092205,4.036864078044891,0.04161783854166667,0.0049106418093459135,73.74448752403259,-49.77438495236524
20480,102,993.8733024338175,46.372754123323126,200.0,0.0,-0.003319123387821795,2844.8412497202557,3.814722125728925,0.06035970052083333,0.008114077583000357,82.80368971824646,-46.2643217825111
22528,113,1118.5767295750675,65.89126379282253,189.1818181818182,0.0,-0.003848433784636048,3418.751273345947,3.6040194163719814,0.066162109375,0.006665008794718143,95.69829416275024,-43.93853338012925
24576,123,1329.0477861735237,76.0276053086973,200.0,0.0,-0.004278021488183488,4126.078665924072,3.5247955933213233,0.07356770833333333,0.007387310846852832,105.15569186210632,-43.48935659866263
